Pair,Horizon,Magnitude,Position,Threshold,Low,High
AUDUSD,4,1,4,0.04,0.50,0.73
AUDUSD,4,1,5,0.05,0.31,0.59
AUDUSD,4,2,6,0.1,0.27,0.52
AUDUSD,4,2,7,0.2,0.28,0.50
AUDUSD,4,2,8,0.3,0.29,0.54
AUDUSD,4,2,9,0.4,0.31,0.53
AUDUSD,4,2,10,0.5,0.30,0.50
AUDUSD,4,3,11,1.0,0.32,0.58
AUDUSD,4,3,12,1.5,0.31,0.53
AUDUSD,5,1,1,0.01,0.40,0.69
AUDUSD,5,1,2,0.02,0.39,0.71
AUDUSD,5,1,3,0.03,0.49,0.70
AUDUSD,5,1,4,0.04,0.46,0.73
AUDUSD,5,1,5,0.05,0.49,0.67
AUDUSD,5,2,6,0.1,0.26,0.54
AUDUSD,5,2,7,0.2,0.29,0.50
AUDUSD,5,2,8,0.3,0.29,0.51
AUDUSD,5,2,9,0.4,0.26,0.47
AUDUSD,5,2,10,0.5,0.27,0.46
AUDUSD,5,3,11,1.0,0.29,0.54
AUDUSD,5,3,12,1.5,0.35,0.56
AUDUSD,5,3,13,2.0,0.38,0.55
AUDUSD,6,1,1,0.01,0.36,0.65
AUDUSD,6,1,2,0.02,0.37,0.66
AUDUSD,6,1,3,0.03,0.37,0.64
AUDUSD,6,1,4,0.04,0.42,0.66
AUDUSD,6,1,5,0.05,0.48,0.64
AUDUSD,6,2,6,0.1,0.32,0.50
AUDUSD,6,2,7,0.2,0.22,0.43
AUDUSD,6,2,8,0.3,0.26,0.44
AUDUSD,6,2,9,0.4,0.29,0.47
AUDUSD,6,2,10,0.5,0.29,0.45
AUDUSD,6,3,11,1.0,0.26,0.49
AUDUSD,6,3,12,1.5,0.29,0.54
AUDUSD,6,3,13,2.0,0.32,0.50
AUDUSD,6,3,14,2.5,0.34,0.55
AUDUSD,7,1,1,0.01,0.46,0.61
AUDUSD,7,1,2,0.02,0.27,0.65
AUDUSD,7,1,3,0.03,0.40,0.63
AUDUSD,7,1,4,0.04,0.38,0.62
AUDUSD,7,1,5,0.05,0.38,0.60
AUDUSD,7,2,6,0.1,0.39,0.61
AUDUSD,7,2,7,0.2,0.21,0.51
AUDUSD,7,2,8,0.3,0.26,0.50
AUDUSD,7,2,9,0.4,0.24,0.44
AUDUSD,7,2,10,0.5,0.26,0.44
AUDUSD,7,3,11,1.0,0.29,0.45
AUDUSD,7,3,12,1.5,0.27,0.47
AUDUSD,7,3,13,2.0,0.26,0.49
AUDUSD,7,3,14,2.5,0.32,0.50
AUDUSD,7,3,15,3.0,0.28,0.53
BTCUSD,1,1,1,0.01,0.66,1.00
BTCUSD,1,1,2,0.02,0.59,0.99
BTCUSD,1,1,3,0.03,0.42,1.00
BTCUSD,1,1,4,0.04,0.62,0.99
BTCUSD,1,1,5,0.05,0.52,1.00
BTCUSD,1,2,6,0.1,0.43,0.78
BTCUSD,1,2,7,0.2,0.36,0.67
BTCUSD,1,2,8,0.3,0.35,0.66
BTCUSD,1,2,9,0.4,0.41,0.65
BTCUSD,1,2,10,0.5,0.28,0.64
BTCUSD,1,3,11,1.0,0.29,0.60
BTCUSD,1,3,12,1.5,0.39,0.62
BTCUSD,1,3,13,2.0,0.28,0.60
BTCUSD,1,3,14,2.5,0.29,0.62
BTCUSD,1,3,15,3.0,0.28,0.65
BTCUSD,2,1,1,0.01,0.52,0.81
BTCUSD,2,1,2,0.02,0.55,0.79
BTCUSD,2,1,3,0.03,0.52,0.79
BTCUSD,2,1,4,0.04,0.52,0.78
BTCUSD,2,1,5,0.05,0.42,0.80
BTCUSD,2,2,6,0.1,0.52,0.76
BTCUSD,2,2,7,0.2,0.28,0.54
BTCUSD,2,2,8,0.3,0.30,0.54
BTCUSD,2,2,9,0.4,0.25,0.55
BTCUSD,2,2,10,0.5,0.38,0.51
BTCUSD,2,3,11,1.0,0.28,0.58
BTCUSD,2,3,12,1.5,0.27,0.57
