Pair,Horizon,Magnitude,Position,Threshold,Low,High
EURCHF,2,2,7,0.2,0.38,0.58
EURCHF,2,2,8,0.3,0.38,0.60
EURCHF,2,2,9,0.4,0.44,0.64
EURCHF,2,2,10,0.5,0.31,0.66
EURCHF,3,1,1,0.01,0.33,0.77
EURCHF,3,1,2,0.02,0.64,0.77
EURCHF,3,1,3,0.03,0.27,0.53
EURCHF,3,1,4,0.04,0.29,0.49
EURCHF,3,1,5,0.05,0.22,0.45
EURCHF,3,2,6,0.1,0.27,0.49
EURCHF,3,2,7,0.2,0.33,0.51
EURCHF,3,2,8,0.3,0.23,0.54
EURCHF,3,2,9,0.4,0.30,0.56
EURCHF,3,2,10,0.5,0.39,0.59
EURCHF,4,1,1,0.01,0.28,0.74
EURCHF,4,1,2,0.02,0.41,0.73
EURCHF,4,1,3,0.03,0.22,0.49
EURCHF,4,1,4,0.04,0.23,0.53
EURCHF,4,1,5,0.05,0.24,0.50
EURCHF,4,2,6,0.1,0.30,0.49
EURCHF,4,2,7,0.2,0.25,0.57
EURCHF,4,2,8,0.3,0.23,0.54
EURCHF,4,2,9,0.4,0.34,0.53
EURCHF,4,2,10,0.5,0.31,0.56
EURCHF,5,1,1,0.01,0.28,0.71
EURCHF,5,1,2,0.02,0.37,0.73
EURCHF,5,1,3,0.03,0.25,0.50
EURCHF,5,1,4,0.04,0.23,0.49
EURCHF,5,1,5,0.05,0.15,0.47
EURCHF,5,2,6,0.1,0.15,0.47
EURCHF,5,2,7,0.2,0.23,0.47
EURCHF,5,2,8,0.3,0.30,0.49
EURCHF,5,2,9,0.4,0.28,0.46
EURCHF,5,2,10,0.5,0.27,0.51
EURCHF,6,1,1,0.01,0.38,0.64
EURCHF,6,1,2,0.02,0.42,0.68
EURCHF,6,1,3,0.03,0.36,0.68
EURCHF,6,1,4,0.04,0.29,0.51
EURCHF,6,1,5,0.05,0.18,0.49
EURCHF,6,2,6,0.1,0.23,0.47
EURCHF,6,2,7,0.2,0.18,0.48
EURCHF,6,2,8,0.3,0.17,0.44
EURCHF,6,2,9,0.4,0.23,0.44
EURCHF,6,2,10,0.5,0.23,0.47
EURCHF,6,3,11,1.0,0.21,0.54
EURCHF,7,1,1,0.01,0.38,0.65
EURCHF,7,1,2,0.02,0.33,0.66
EURCHF,7,1,3,0.03,0.31,0.62
EURCHF,7,1,4,0.04,0.32,0.65
EURCHF,7,1,5,0.05,0.20,0.47
EURCHF,7,2,6,0.1,0.23,0.46
EURCHF,7,2,7,0.2,0.20,0.39
EURCHF,7,2,8,0.3,0.20,0.44
EURCHF,7,2,9,0.4,0.20,0.42
EURCHF,7,2,10,0.5,0.21,0.43
EURCHF,7,3,11,1.0,0.18,0.45
EURCHF,7,3,12,1.5,0.23,0.49
BTCUSD,1,1,1,0.01,0.95,0.99
